stv	HG02572.cen10	HG02630.cen10	HG03492.cen10
S1C10H1L.1-8	1486.0	2571.0	2502.0
S1C10H1L.7-8	159.0	145.0	27.0
S1C10H1L.1-2_5-8	2.0	9.0	112.0
S1C10H1L.6_8	23.0	46.0	0.0
S1C10H1L.1-2_4-5_4/6_6	14.0	36.0	0.0
S1C10H1L.1_6-8	8.0	17.0	6.0
S1C10H1L.1-5_8	7.0	12.0	5.0
S1C10H1L.1-5_4-8	6.0	12.0	0.0
S1C10H1L.1-5_2-8	6.0	5.0	2.0
S1C10H1L.7_8/2_3-8	8.0	3.0	1.0
S1C10H1L.1-6	7.0	5.0	0.0
S1C10H1L.1-2	4.0	2.0	5.0
S1C10H1L.1-2_4-5_4/6_6_8	4.0	7.0	0.0
S1C10H1L.1-3	4.0	6.0	1.0
S1C10H1L.1-4_3-8	4.0	4.0	1.0
S1C10H1L.1-3_5-8	3.0	3.0	2.0
S1C10H1L.1_2/4_5-8	2.0	6.0	0.0
S1C10H1L.1-5_6/2/4_3-8	1.0	4.0	2.0
S1C10H1L.1_2/6_7-8	0.0	4.0	3.0
S1C10H1L.1	2.0	4.0	0.0
S1C10H1L.6	1.0	5.0	0.0
S1C10H1L.1-7_8/6_7-8	5.0	1.0	0.0
S1C10H1L.7/1_2-8	4.0	1.0	0.0
S1C10H1L.3-8	0.0	1.0	4.0
S1C10H1L.5	2.0	2.0	1.0
S1C10H1L.1_4-8	2.0	2.0	1.0
S1C10H1L.1-7_8/2_3-8	0.0	3.0	1.0
S1C10H1L.1-6_7/5_6-8	0.0	3.0	1.0
S1C10H1L.1-6_8	0.0	0.0	4.0
S1C10H1L.1-2_4-5_4/6	1.0	3.0	0.0
S1C10H1L.1-5_6/2/4_5-8	1.0	1.0	2.0
S1C10H1L.1/5_6-8	0.0	0.0	4.0
S1C10H1L.1-3_5-7	2.0	2.0	0.0
S1C10H1L.1_5-8	0.0	0.0	4.0
S1C10H1L.8/6_7-8	2.0	2.0	0.0
S1C10H1L.1-2_4/6_6	2.0	2.0	0.0
S1C10H1L.1-2_5_8	1.0	1.0	1.0
S1C10H1L.1-4_7-8	1.0	2.0	0.0
S1C10H1L.1-7_8/2_3_5-8	1.0	1.0	1.0
S1C10H1L.1-5_6/8	0.0	2.0	1.0
S1C10H1L.1-2_5_6/8	0.0	0.0	2.0
S1C10H1L.1-3_4/8	0.0	0.0	2.0
S1C10H1L.1-3_4/6_7-8	0.0	0.0	2.0
S1C10H1L.1/5_6/2/4_3-8	0.0	0.0	2.0
S1C10H1L.1-2_7-8	0.0	1.0	1.0
S1C10H1L.1-7_8/2_3-5_4-6	0.0	2.0	0.0
S1C10H1L.1_2/4_5_2-8	2.0	0.0	0.0
S1C10H1L.5_2	1.0	1.0	0.0
S1C10H1L.1-2_4-5_4/6_7/5_6	1.0	1.0	0.0
S1C10H1L.6_6_8	1.0	1.0	0.0
S1C10H1L.4	1.0	1.0	0.0
S1C10H1L.1_6-7_8/2_3-8	1.0	1.0	0.0
S1C10H1L.1_8	1.0	1.0	0.0
S1C10H1L.5-8	1.0	1.0	0.0
S1C10H1L.1-5_2/6_7-8	0.0	0.0	1.0
S1C10H1L.1-3_5_7-8	0.0	0.0	1.0
S1C10H1L.2-3_5-8	0.0	0.0	1.0
S1C10H1L.1-2_3/5_2-8	0.0	0.0	1.0
S1C10H1L.1-3_2-8	0.0	0.0	1.0
S1C10H1L.1_3-8	0.0	0.0	1.0
S1C10H1L.1-5_4-6_7/5_6-8	1.0	0.0	0.0
S1C10H1L.5-6	0.0	1.0	0.0
S1C10H1L.1-2_4-5_4/6_7/5_6_6_8	0.0	1.0	0.0
S1C10H1L.6-7_8/6_7-8	0.0	1.0	0.0
S1C10H1L.6_6	0.0	1.0	0.0
S1C10H1L.4-5_4/6_6	0.0	1.0	0.0
S1C10H1L.1-4_3-7_8/6_7-8	0.0	1.0	0.0
S1C10H1L.1_2/8	0.0	1.0	0.0
S1C10H1L.1-5_4/6_7-8	0.0	1.0	0.0
S1C10H1L.2-8	0.0	1.0	0.0
S1C10H1L.1-4	0.0	1.0	0.0
S1C10H1L.6-8	1.0	0.0	0.0
S1C10H1L.1-5_2-7_8/2_3-5_4-8	1.0	0.0	0.0
S1C10H1L.1-7_8/2_5-8	1.0	0.0	0.0
S1C10H1L.1-5	0.0	0.0	1.0
